,Name,skills,more_info
0,3RITechnologiesPvtLtd,"embeddedsystems,embeddedc,oscilloscope",https://www.timesjobs.com/job-detail/python-3ri-technologies-pvt-ltd-pune-0-to-3-yrs-jobid-BPHzI7z6aKVzpSvf__PLUS__uAgZw==&source=srp
1,GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
2,GoldenOpportunitiesPvtLtd,"python,informationtechnology,sql",https://www.timesjobs.com/job-detail/python-developers-golden-opportunities-pvt-ltd-chennai-5-to-8-yrs-jobid-PhsasbleP6xzpSvf__PLUS__uAgZw==&source=srp
3,TECHNOPARKTRIVANDRUM,"python,oops,storage",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-E0wbvlNXauRzpSvf__PLUS__uAgZw==&source=srp
4,TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"python,pythonscripting,shellscripting,unix",https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
5,TandAHRSolutions,"Djangoframework,PythonDeveloper,corepython",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
6,eastindiasecuritiesltd.,"python,hadoop,machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
7,YMGlobalTechnologiesPteLtd,"python,apache,machinelearning",https://www.timesjobs.com/job-detail/python-developer-ym-global-technologies-pte-ltd-singapore-4-to-7-yrs-jobid-bRMEk1dtdLBzpSvf__PLUS__uAgZw==&source=srp
8,MINDWORKSGLOBALMEDIASERVICES,"python,mysql,mongodb",https://www.timesjobs.com/job-detail/python-developer-mindworks-global-media-services-noida-greater-noida-0-to-3-yrs-jobid-zrzMATnLcENzpSvf__PLUS__uAgZw==&source=srp
